ticker,name,market,locale,active,source_feed
I:AVT5SMID,Alpha Vee Risk Managed SMID Top 5 Sector Equities,indices,us,True,CboeGlobalIndicesCGI
I:AVUSMEGA,Alpha Vee US Mega Cap,indices,us,True,CboeGlobalIndicesCGI
I:B15GI,OMX Baltic Telecommunications GI,indices,us,True,NasdaqGIDS
I:B15PI,OMX Baltic Telecommunications PI,indices,us,True,NasdaqGIDS
I:B20GI,OMX Baltic Health Care GI,indices,us,True,NasdaqGIDS
I:B20PI,OMX Baltic Health Care PI,indices,us,True,NasdaqGIDS
I:B3010GI,OMX Baltic Banks GI,indices,us,True,NasdaqGIDS
I:B3010PI,OMX Baltic Banks PI,indices,us,True,NasdaqGIDS
I:B3020GI,OMX Baltic Financial Services GI,indices,us,True,NasdaqGIDS
I:B3020PI,OMX Baltic Financial Services PI,indices,us,True,NasdaqGIDS
I:B30GI,OMX Baltic Financials GI,indices,us,True,NasdaqGIDS
I:B30PI,OMX Baltic Financials PI,indices,us,True,NasdaqGIDS
I:B35GI,OMX Baltic Real Estate GI,indices,us,True,NasdaqGIDS
I:B35PI,OMX Baltic Real Estate PI,indices,us,True,NasdaqGIDS
I:B4020GI,OMX Baltic Consumer Products and Services GI,indices,us,True,NasdaqGIDS
I:B4020PI,OMX Baltic Consumer Products and Services PI,indices,us,True,NasdaqGIDS
I:B4030GI,OMX Baltic Media GI,indices,us,True,NasdaqGIDS
I:B4030PI,OMX Baltic Media PI,indices,us,True,NasdaqGIDS
I:B4040GI,OMX Baltic Retail GI,indices,us,True,NasdaqGIDS
I:B4040PI,OMX Baltic Retail PI,indices,us,True,NasdaqGIDS
I:B4050GI,OMX Baltic Travel and Leisure GI,indices,us,True,NasdaqGIDS
I:B4050PI,OMX Baltic Travel and Leisure PI,indices,us,True,NasdaqGIDS
I:B40GI,OMX Baltic Consumer Discretionary GI,indices,us,True,NasdaqGIDS
I:B40PI,OMX Baltic Consumer Discretionary PI,indices,us,True,NasdaqGIDS
I:B4510GI,"OMX Baltic Food, Beverage and Tobacco  GI",indices,us,True,NasdaqGIDS
I:B4510PI,"OMX Baltic Food, Beverage and Tobacco  PI",indices,us,True,NasdaqGIDS
I:B45GI,OMX Baltic Consumer Staples GI,indices,us,True,NasdaqGIDS
I:B45PI,OMX Baltic Consumer Staples PI,indices,us,True,NasdaqGIDS
I:B5010GI,OMX Baltic Construction and Materials GI,indices,us,True,NasdaqGIDS
I:B5010PI,OMX Baltic Construction and Materials PI,indices,us,True,NasdaqGIDS
I:B5020GI,OMX Baltic Industrial Goods and Services GI,indices,us,True,NasdaqGIDS
I:B5020PI,OMX Baltic Industrial Goods and Services PI,indices,us,True,NasdaqGIDS
I:B50GI,OMX Baltic Industrials GI,indices,us,True,NasdaqGIDS
